fpl_id,name,team,position,price,total_points,minutes,PP90,PP90PM,goals,assists,clean_sheets,bonus,bps,form,goals_conceded,yellow_cards,red_cards,saves,penalties_missed,penalties_saved,team_code
435,Costa,WOL,M,5.0,2,70,2.57,0.51,0,0,0,0,6,2.0,2,0,0,0,0,0,39
143,Sakho,CRY,D,5.0,7,90,7.0,1.4,0,0,1,1,33,7.0,0,0,0,0,0,0,31
378,Holebas,WAT,D,4.6,13,90,13.0,2.83,0,2,1,2,47,13.0,0,1,0,0,0,0,57
410,Masuaku,WHU,M,4.5,2,90,2.0,0.44,0,0,0,0,16,2.0,4,0,0,0,0,0,21
425,Doherty,WOL,D,4.5,1,90,1.0,0.22,0,0,0,0,11,1.0,2,0,0,0,0,0,39
406,Rice,WHU,D,4.5,0,45,0.0,0.0,0,0,0,0,5,0.0,2,0,0,0,0,0,21
333,Stephens,SOU,D,4.5,6,90,6.0,1.33,0,0,1,0,28,6.0,0,0,0,0,0,0,20
464,Balbuena,WHU,D,4.5,-1,90,-1.0,-0.22,0,0,0,0,16,-1.0,4,1,0,0,0,0,21
339,Oriol Romeu,SOU,M,4.5,3,90,3.0,0.67,0,0,1,0,12,3.0,0,0,0,0,0,0,20
332,Cédric,SOU,D,4.5,1,55,1.64,0.36,0,0,0,0,4,1.0,0,0,0,0,0,0,20
376,Cathcart,WAT,D,4.5,6,90,6.0,1.33,0,0,1,0,23,6.0,0,0,0,0,0,0,57
380,Kabasele,WAT,D,4.5,6,90,6.0,1.33,0,0,1,0,17,6.0,0,0,0,0,0,0,57
383,Kiko Femenía,WAT,D,4.5,1,3,30.0,6.67,0,0,0,0,5,1.0,0,0,0,0,0,0,57
336,Hoedt,SOU,D,4.5,6,90,6.0,1.33,0,0,1,0,22,6.0,0,0,0,0,0,0,20
523,Amos,TOT,M,4.5,1,2,45.0,10.0,0,0,0,0,3,1.0,0,0,0,0,0,0,6
328,McCarthy,SOU,GK,4.5,11,90,11.0,2.44,0,0,1,3,34,11.0,0,0,0,6,0,0,20
445,Foster,WAT,GK,4.5,6,90,6.0,1.33,0,0,1,0,23,6.0,0,0,0,0,0,0,57
524,Success,WAT,F,4.5,1,16,5.62,1.25,0,0,0,0,3,1.0,0,0,0,0,0,0,57
400,Fabianski,WHU,GK,4.5,1,90,1.0,0.22,0,0,0,0,18,1.0,4,0,0,4,0,0,21
403,Ogbonna,WHU,D,4.5,0,90,0.0,0.0,0,0,0,0,16,0.0,4,0,0,0,0,0,21
74,Taylor,BUR,D,4.5,1,3,30.0,6.67,0,0,0,0,2,1.0,0,0,0,0,0,0,90
80,Westwood,BUR,M,4.5,3,90,3.0,0.67,0,0,1,0,13,3.0,0,0,0,0,0,0,90
490,Hart,BUR,GK,4.5,7,90,7.0,1.56,0,0,1,0,26,7.0,0,0,0,3,0,0,90
88,Etheridge,CAR,GK,4.5,6,90,6.0,1.33,0,0,0,0,26,6.0,2,0,0,2,0,1,97
91,Bamba,CAR,D,4.5,1,90,1.0,0.22,0,0,0,0,7,1.0,2,0,0,0,0,0,97
92,Ecuele Manga,CAR,D,4.5,1,90,1.0,0.22,0,0,0,0,8,1.0,2,0,0,0,0,0,97
448,Gibbs-White,WOL,M,4.5,1,5,18.0,4.0,0,0,0,0,2,1.0,0,0,0,0,0,0,39
94,Bennett,CAR,D,4.5,1,90,1.0,0.22,0,0,0,0,14,1.0,2,0,0,0,0,0,97
105,Ward,CAR,M,4.5,1,28,3.21,0.71,0,0,0,0,3,1.0,1,0,0,0,0,0,97
109,Madine,CAR,F,4.5,1,2,45.0,10.0,0,0,0,0,5,1.0,1,0,0,0,0,0,97
135,Hennessey,CRY,GK,4.5,9,90,9.0,2.0,0,0,1,1,33,9.0,0,0,0,6,0,0,31
138,Tomkins,CRY,D,4.5,6,90,6.0,1.33,0,0,1,0,29,6.0,0,0,0,0,0,0,31
141,Schlupp,CRY,D,4.5,11,90,11.0,2.44,1,0,1,0,30,11.0,0,1,0,0,0,0,31
440,Bernardo,BHA,D,4.5,0,90,0.0,0.0,0,0,0,0,11,0.0,2,1,0,0,0,0,36
20,Maitland-Niles,ARS,M,4.5,1,34,2.65,0.59,0,0,0,0,7,1.0,1,0,0,0,0,0,3
451,Guendouzi,ARS,M,4.5,2,90,2.0,0.44,0,0,0,0,15,2.0,2,0,0,0,0,0,3
24,Begovic,BOU,GK,4.5,6,90,6.0,1.33,0,0,1,0,21,6.0,0,0,0,1,0,0,91
26,Francis,BOU,D,4.5,4,23,15.65,3.48,0,1,0,0,15,4.0,0,0,0,0,0,0,91
